,Unnamed: 0.1,pub_year,pub_month,journal_name,paper_title,author
15167,15167,2018,5,Nature communications,In vivo reprogramming drives Kras-induced cancer development,"hirofumi.shibata.japan.kyoto,shingo.komura.japan.kyoto,yosuke.yamada.japan.kyoto,nao.sankoda.japan.kyoto,akito.tanaka.japan.kyoto,tomoyo.ukai.japan.kyoto,mio.kabata.japan.kyoto,satoko.sakurai.japan.kyoto,bunya.kuze.japan.gifu,knut.woltjen.japan.kyoto,hironori.haga.japan.kyoto,yatsuji.ito.japan.gifu,yoshiya.kawaguchi.japan.kyoto,takuya.yamamoto.japan.kyoto,yasuhiro.yamada.japan.kyoto"
15175,15175,2018,5,Nature communications,Metamaterials with index ellipsoids at arbitrary k-points,"wenjie.chen.china.hongkong,bo.hou.china.hongkong,zhaoqing.zhang.china.hongkong,john_b.pendry.united_kingdom.london,c_t.chan.china.hongkong"
15177,15177,2018,5,Nature communications,Molecular basis of dimer formation during the biosynthesis of benzofluorene-containing atypical angucyclines,"chunshuai.huang.china.guangzhou,chunfang.yang.china.guangzhou,wenjun.zhang.china.guangzhou,liping.zhang.china.guangzhou,bidhan_chandra.de.china.guangzhou,yiguang.zhu.china.guangzhou,xiaodong.jiang.china.guangzhou,chunyan.fang.china.guangzhou,qingbo.zhang.china.guangzhou,chengshan.yuan.china.guangzhou,changsheng.zhang.china.guangzhou"
15180,15180,2018,5,Nature communications,Self-activated surface dynamics in gold catalysts under reaction environments,"naoto.kamiuchi.japan.ibaraki,keju.sun.japan.ibaraki,ryotaro.aso.japan.ibaraki,masakazu.tane.japan.ibaraki,takehiro.tamaoka.japan.ibaraki,hideto.yoshida.japan.ibaraki,seiji.takeda.japan.ibaraki"
15183,15183,2018,5,Nature communications,Coil-globule transitions drive discontinuous volume conserving deformation in locally restrained gels,"tetsuya.yamamoto.japan.nagoya,yuichi.masubuchi.japan.nagoya,masao.doi.china.beijing"
15185,15185,2018,5,Nature communications,The genomic landscape of TERT promoter wildtype-IDH wildtype glioblastoma,"bill_h.diplas.usa.durham,xujun.he.usa.durham,heng.liu.usa.durham,lee_h.chen.usa.durham,zhaohui.wang.usa.durham,casey_j.moure.usa.durham,patrick_j.killela.usa.durham,daniel_b.loriaux.usa.durham,eric_s.lipp.usa.durham,paula_k.greer.usa.durham,rui.yang.usa.durham,allan_h.friedman.usa.durham,henry_s.friedman.usa.durham,sizhen.wang.china.beijing,yiping.he.usa.durham,roger_e.mclendon.usa.durham,darell_d.bigner.usa.durham,yuchen.jiao.china.beijing,matthew_s.waitkus.usa.durham,hai.yan.usa.durham"
15186,15186,2018,5,Nature communications,Fossilized skin reveals coevolution with feathers and metabolism in feathered dinosaurs and early birds,"maria_e.mcnamara.ireland.cork,stuart_l.kearns.united_kingdom.bristol,patrick_j.orr.ireland.dublin,andr.toulouse.ireland.cork,tara.foley.ireland.cork,david_w_e.hone.united_kingdom.london,chris_s.rogers.ireland.cork,michael_j.benton.united_kingdom.bristol,diane.johnson.united_kingdom.miltonkeynes,xing.xu.china.beijing,zhonghe.zhou.china.beijing"
15189,15189,2018,5,Nature communications,Testosterone is an endogenous regulator of BAFF and splenic B cell number,"anna_s.wilhelmson.sweden.gothenburg,marta.lantero_rodriguez.sweden.gothenburg,alexandra.stubelius.sweden.gothenburg,per.fogelstrand.sweden.gothenburg,inger.johansson.sweden.gothenburg,maria_e.johansson.sweden.box,johan_b.fagman.sweden.box,amanda.duhlin.sweden.stockholm,prabhanshu.tripathi.india.faridabad,alessandro.camponeschi.sweden.box,antonius_g.rolink.switzerland.basel,hans.nissbrandt.sweden.box,hans.carlsten.sweden.gothenburg,ingalill.mrtensson.sweden.box,mikael_c_i.karlsson.sweden.stockholm,sa.tivesten.sweden.gothenburg"
15199,15199,2018,5,PLoS biology,A G-protein-coupled chemoattractant receptor recognizes lipopolysaccharide for bacterial phagocytosis,"miao.pan.usa.maryland,matthew_p.neilson.united_kingdom.glasgow,alexander_m.grunfeld.usa.maryland,phillip.cruz.usa.maryland,xi.wen.usa.maryland,robert_h.insall.united_kingdom.glasgow,tian.jin.usa.maryland"
15202,15202,2018,5,PLoS medicine,Complement-activating donor-specific anti-HLA antibodies and solid organ transplant survival: A systematic review and meta-analysis,"antoine.bouquegneau.france.paris,charlotte.loheac.france.paris,olivier.aubert.france.paris,yassine.bouatou.france.paris,denis.viglietti.france.paris,jeanphilippe.empana.france.paris,mohammad_hassan.murad.usa.minnesota,christophe.legendre.france.paris,denis.glotz.france.paris,annette_m.jackson.usa.maryland,adriana.zeevi.usa.pennsylvania,stephan.schaub.switzerland.basel,elaine_f.reed.usa.california,john_j.friedewald.usa.illinois,dolly_b.tyan.usa.california,caner.ssal.germany.heidelberg,ron.shapiro.usa.newyork,e_steve.woodle.usa.ohio,jacqueline.oleary.usa.texas,robert_a.montgomery.usa.newyork,jon.kobashigawa.usa.california,xavier.jouven.france.paris,patricia.jabre.france.paris,carmen.lefaucheur.france.paris,alexandre.loupy.france.paris"
