,Unnamed: 0.1,pub_year,pub_month,journal_name,paper_title,author
7593,7593,2018,9,Science translational medicine,Evaluation of mutant huntingtin and neurofilament proteins as potential markers in Huntington's disease,"lauren_m.byrne.united_kingdom.london,filipe_b.rodrigues.united_kingdom.london,eileanor_b.johnson.united_kingdom.london,enrico.de_vita.united_kingdom.london,giuseppe.palermo.switzerland.basel,christian.czech.switzerland.basel,scott.schobel.switzerland.basel,rachael_i.scahill.united_kingdom.london,amanda.heslegrave.united_kingdom.london,henrik.zetterberg.united_kingdom.london,edward_j.wild.united_kingdom.london"
7595,7595,2018,9,Cell reports,Decoding the Regulatory Logic of the Drosophila Male Stem Cell System,"srividya.tamirisa.germany.heidelberg,eugen.rempel.germany.heidelberg,olga.ermakova.germany.heidelberg,nils.trost.germany.heidelberg,jun.zhou.germany.heidelberg,juliane.mundorf.germany.cologne,samantha.brunel.france.paris,naima.ruhland.germany.heidelberg,michael.boutros.germany.heidelberg,jan_u.lohmann.germany.heidelberg,ingrid.lohmann.germany.heidelberg"
7597,7597,2018,9,Cell reports,STIM1 and STIM2 Mediate Cancer-Induced Inflammation in T Cell Acute Lymphoblastic Leukemia,"shella.saint_fleurlominy.usa.newyork,mate.maus.usa.newyork,martin.vaeth.usa.newyork,ingo.lange.usa.newyork,isabelle.zee.usa.newyork,david.suh.usa.newyork,cynthia.liu.usa.newyork,xiaojun.wu.usa.newyork,anastasia.tikhonova.usa.newyork,iannis.aifantis.usa.newyork,stefan.feske.usa.newyork"
7598,7598,2018,9,Cell reports,TLR Crosstalk Activates LRP1 to Recruit Rab8a and PI3Kγ for Suppression of Inflammatory Responses,"lin.luo.australia.brisbane,adam_a.wall.australia.brisbane,samuel_j.tong.australia.brisbane,yu.hung.australia.brisbane,zhijian.xiao.australia.brisbane,abdullah_a.tarique.australia.brisbane,peter_d.sly.australia.brisbane,emmanuelle.fantino.australia.brisbane,jennifer_l.stow.australia.brisbane"
7599,7599,2018,9,Cell reports,Granule-Dependent NK Cell Killing of Cryptococcus Requires Kinesin to Reposition the Cytolytic Machinery for Directed Cytotoxicity,"henry.ogbomo.canada.calgary,martina.timmmccann.canada.calgary,tavish.barnes.canada.calgary,richard_f.xiang.canada.calgary,khusraw.jamil.canada.calgary,anutosh.ganguly.canada.calgary,danuta.stack.canada.calgary,shaunna_m.huston.canada.calgary,shu_shun.li.canada.calgary,pina.colarusso.canada.calgary,christopher_h.mody.canada.calgary"
7600,7600,2018,9,Cell reports,Single-Cell Acoustic Force Spectroscopy: Resolving Kinetics and Strength of T Cell Adhesion to Fibronectin,"douwe.kamsma.netherlands.amsterdam,pascal.bochet.france.paris,nander.alblas.netherlands.amsterdam,sophie.goyard.france.paris,gijs_j_l.wuite.netherlands.amsterdam,erwin_j_g.peterman.netherlands.amsterdam,thierry.rose.france.paris"
7602,7602,2018,9,Cell reports,FXR Inhibits Endoplasmic Reticulum Stress-Induced NLRP3 Inflammasome in Hepatocytes and Ameliorates Liver Injury,"chang_yeob.han.south_korea.iksan,hyun_soo.rho.south_korea.seoul,ayoung.kim.south_korea.seoul,tae_hyun.kim.south_korea.seoul,kiseok.jang.south_korea.seoul,dae_won.jun.south_korea.seoul,jong_won.kim.south_korea.iksan,bumseok.kim.south_korea.iksan,sang_geon.kim.south_korea.seoul"
7603,7603,2018,9,Cell reports,"MRT, Functioning with NURF Complex, Regulates Lipid Droplet Size","yan.yao.china.beijing,xia.li.china.beijing,wei.wang.china.beijing,zhonghua.liu.china.beijing,jianming.chen.china.guangzhou,mei.ding.china.beijing,xun.huang.china.beijing"
7604,7604,2018,9,Cell reports,GPS2 Deficiency Triggers Maladaptive White Adipose Tissue Expansion in Obesity via HIF1A Activation,"karima.drareni.france.paris,raphalle.ballaire.france.paris,serena.barilla.sweden.huddinge,mano_j.mathew.france.paris,amine.toubal.france.paris,rongrong.fan.sweden.huddinge,ning.liang.sweden.huddinge,catherine.chollet.france.paris,zhiqiang.huang.sweden.huddinge,maria.kondili.france.paris,fabienne.foufelle.france.paris,antoine.soprani.france.paris,ronan.roussel.france.paris,jeanfranois.gautier.france.paris,fawaz.alzaid.france.paris,eckardt.treuter.sweden.huddinge,nicolas.venteclef.france.paris"
7605,7605,2018,9,Cell reports,Disease-Linked Glutarylation Impairs Function and Interactions of Mitochondrial Proteins and Contributes to Mitochondrial Heterogeneity,"jessica.schmiesing.germany.hamburg,stephan.storch.germany.hamburg,anncathrin.drfler.germany.hamburg,michaela.schweizer.germany.hamburg,georgia.makrypidifraune.germany.hamburg,melanie.thelen.germany.bonn,marc.sylvester.germany.bonn,volkmar.gieselmann.germany.bonn,catherine.meyerschwesinger.germany.hamburg,friedrich.kochnolte.germany.hamburg,henning.tidow.germany.hamburg,chris.mhlhausen.germany.hamburg,thomas.braulke.germany.hamburg"
