,Unnamed: 0.1,pub_year,pub_month,journal_name,paper_title,author
20221,20221,2018,3,Nature communications,A transcriptome-wide association study identifies PALMD as a susceptibility gene for calcific aortic valve stenosis,"sbastien.thriault.canada.quebeccity,nathalie.gaudreault.canada.quebeccity,maxime.lamontagne.canada.quebeccity,mickael.rosa.canada.quebeccity,mariechlo.boulanger.canada.quebeccity,david.messikazeitoun.france.paris,marieannick.clavel.canada.quebeccity,romain.capoulade.canada.quebeccity,franois.dagenais.canada.quebeccity,philippe.pibarot.canada.quebeccity,patrick.mathieu.canada.quebeccity,yohan.boss.canada.quebeccity"
20222,20222,2018,3,Nature,Meta-analysis and the science of research synthesis,"jessica.gurevitch.usa.newyork,julia.koricheva.united_kingdom.egham,shinichi.nakagawa.australia.sydney,gavin.stewart.united_kingdom.newcastle"
20224,20224,2018,3,Nature,Monolayer atomic crystal molecular superlattices,"chen.wang.usa.california,qiyuan.he.usa.california,udayabagya.halim.usa.california,yuanyue.liu.usa.california,enbo.zhu.usa.california,zhaoyang.lin.usa.california,hai.xiao.usa.california,xidong.duan.china.changsha,ziying.feng.usa.california,rui.cheng.usa.california,nathan_o.weiss.usa.california,guojun.ye.china.hefei,yunchiao.huang.usa.california,hao.wu.usa.california,hungchieh.cheng.usa.california,imran.shakir.saudi_arabia.riyadh,lei.liao.china.changsha,xianhui.chen.china.hefei,william_a.goddard.usa.california,yu.huang.usa.california,xiangfeng.duan.usa.california"
20225,20225,2018,3,Nature,Measurement of Jupiter's asymmetric gravity field,"l.iess.italy.rome,w_m.folkner.usa.california,d.durante.italy.rome,m.parisi.usa.california,y.kaspi.israel.rehovot,e.galanti.israel.rehovot,w_b.hubbard.usa.arizona,d_j.stevenson.usa.california,j_d.anderson.usa.texas,d_r.buccino.usa.california,a.milani.italy.pisa,r.park.usa.california,p.racioppa.italy.rome,d.serra.italy.pisa,h.cao.usa.california,r.helled.switzerland.zurich,j_i.lunine.usa.newyork,b.militzer.usa.california,s.wahl.usa.california,s_m.levin.usa.california,s_j.bolton.usa.texas"
20226,20226,2018,3,Nature,A suppression of differential rotation in Jupiter's deep interior,"t.guillot.france.nice,y.miguel.france.nice,b.militzer.usa.california,w_b.hubbard.usa.arizona,y.kaspi.israel.rehovot,e.galanti.israel.rehovot,h.cao.usa.california,r.helled.switzerland.zurich,s_m.wahl.usa.california,l.iess.italy.rome,w_m.folkner.usa.california,d_j.stevenson.usa.california,j_i.lunine.usa.newyork,d_r.reese.france.meudon,a.biekman.france.nice,m.parisi.usa.california,d.durante.italy.rome,s_m.levin.usa.california,s_j.bolton.usa.texas"
20229,20229,2018,3,Nature,Clusters of cyclones encircling Jupiter's poles,"a.adriani.italy.roma,a.mura.italy.roma,g.orton.usa.california,c.hansen.usa.arizona,f.altieri.italy.roma,m_l.moriconi.italy.bologna,t.momary.usa.california,a_p.ingersoll.usa.california,g.filacchione.italy.roma,g.sindoni.italy.roma,f.tabatabavakili.usa.california,b_m.dinelli.italy.bologna,f.fabiano.italy.bologna,s_j.bolton.usa.texas,s_k.atreya.usa.michigan,j_i.lunine.usa.newyork,f.tosi.italy.roma,a.migliorini.italy.roma,d.grassi.italy.roma,g.piccioni.italy.roma,r.noschese.italy.roma,a.cicchetti.italy.roma,m_e.oneill.usa.illinois,d.turrini.italy.roma,s.stefani.italy.roma,r.sordini.italy.roma"
20231,20231,2018,3,Nature,Jupiter's atmospheric jet streams extend thousands of kilometres deep,"y.kaspi.israel.rehovot,e.galanti.israel.rehovot,w_b.hubbard.usa.arizona,d_j.stevenson.usa.california,s_j.bolton.usa.texas,l.iess.italy.rome,t.guillot.france.nice,j.bloxham.usa.massachusetts,j_e_p.connerney.usa.maryland,h.cao.usa.california,d.durante.italy.rome,w_m.folkner.usa.california,r.helled.switzerland.zurich,a_p.ingersoll.usa.california,s_m.levin.usa.california,j_i.lunine.usa.newyork,y.miguel.france.nice,b.militzer.usa.california,m.parisi.usa.california,s_m.wahl.usa.california"
20233,20233,2018,3,PLoS computational biology,Deploying digital health data to optimize influenza surveillance at national and local scales,"elizabeth_c.lee.usa.washington,ali.arab.usa.washington,sandra_m.goldlust.usa.washington,ccile.viboud.usa.maryland,bryan_t.grenfell.usa.maryland,shweta.bansal.usa.washington"
20234,20234,2018,3,PLoS genetics,Arabidopsis ICK/KRP cyclin-dependent kinase inhibitors function to ensure the formation of one megaspore mother cell and one functional megaspore per ovule,"ling.cao.china.wuhan,sheng.wang.canada.saskatoon,prakash.venglat.canada.saskatoon,lihua.zhao.china.fuzhou,yan.cheng.china.wuhan,shengjian.ye.canada.saskatoon,yuan.qin.china.fuzhou,raju.datla.canada.saskatoon,yongming.zhou.china.wuhan,hong.wang.canada.saskatoon"
20235,20235,2018,3,PLoS genetics,"BRDT is an essential epigenetic regulator for proper chromatin organization, silencing of sex chromosomes and crossover formation in male meiosis","marcia.manterola.usa.newyork,taylor_m.brown.usa.newyork,min_young.oh.usa.newyork,corey.garyn.usa.newyork,bryan_j.gonzalez.usa.newyork,debra_j.wolgemuth.usa.newyork"
20236,20236,2018,3,PLoS medicine,Integrating HIV and hypertension management in low-resource settings: Lessons from Malawi,"pragna.patel.usa.georgia,alice.maida.usa.georgia,fleetwood.loustalot.usa.georgia,denise.giles.usa.georgia,sundeep.gupta.usa.georgia,pratima.raghunathan.usa.georgia"
20237,20237,2018,3,PLoS neglected tropical diseases,Zika virus epidemiology in Bolivia: A seroprevalence study in volunteer blood donors,"paola_mariela.saba_villarroel.france.marseille,elif.nurtop.france.marseille,boris.pastorino.france.marseille,jan_felix.drexler.germany.berlin,thomas.jaenisch.germany.heidelberg,isabelle.leparcgoffart.france.marseille,stphane.priet.france.marseille,laetitia.ninove.france.marseille,xavier.de_lamballerie.france.marseille"
20240,20240,2018,3,Science advances,Fluid pressure and shear zone development over the locked to slow slip region in Cascadia,"pascal.audet.canada.ottawa,andrew_j.schaeffer.canada.ottawa"
20247,20247,2018,3,Science advances,Hallmarks of science missing from North American wildlife management,"kyle_a.artelle.canada.burnaby,john_d.reynolds.canada.burnaby,jessica_c.walsh.canada.burnaby,paul_c.paquet.canada.sidney,chris_t.darimont.canada.sidney"
20248,20248,2018,3,Science advances,Fragile skin microbiomes in megacities are assembled by a predominantly niche-based process,"hyejin.kim.south_korea.anseong,hanbyul.kim.south_korea.yongin,jin_ju.kim.south_korea.anseong,nu_ri.myeong.south_korea.anseong,taeyune.kim.south_korea.anseong,taehun.park.south_korea.yongin,eunjoo.kim.south_korea.yongin,jiyei.choi.south_korea.yongin,susun.an.south_korea.yongin,woo_jun.sul.south_korea.anseong"
20249,20249,2018,3,Science translational medicine,A PET imaging approach for determining EGFR mutation status for improved lung cancer patient management,"xilin.sun.china.harbin,zunyu.xiao.china.harbin,gongyan.chen.china.harbin,zhaoguo.han.china.harbin,yang.liu.china.harbin,chongqing.zhang.china.harbin,yingying.sun.china.harbin,yan.song.china.harbin,kai.wang.china.harbin,fang.fang.china.harbin,xiance.wang.china.harbin,yanhong.lin.china.harbin,lili.xu.china.shanghai,liming.shao.china.shanghai,jin.li.china.harbin,baozhong.shen.china.harbin"
20254,20254,2018,3,Science translational medicine,Combating low birth weight due to malaria infection in pregnancy,"james_g.beeson.australia.melbourne,michelle_j_l.scoullar.australia.melbourne,philippe.boeuf.australia.melbourne"
20256,20256,2018,3,Cell metabolism,Non-invasive Measurement of Brown Fat Metabolism Based on Optoacoustic Imaging of Hemoglobin Gradients,"josefine.reber.germany.munich,monja.willershuser.germany.munich,angelos.karlas.germany.munich,korbinian.paulyuan.germany.munich,gael.diot.germany.munich,daniela.franz.germany.munich,tobias.fromme.germany.munich,saak_v.ovsepian.germany.munich,nicolas.bzire.germany.munich,elena.dubikovskaya.switzerland.lausanne,dimitrios_c.karampinos.germany.munich,christina.holzapfel.germany.munich,hans.hauner.germany.munich,martin.klingenspor.germany.munich,vasilis.ntziachristos.germany.munich"
20263,20263,2018,3,Cell metabolism,Visceral Adipose Tissue Immune Homeostasis Is Regulated by the Crosstalk between Adipocytes and Dendritic Cell Subsets,"claire_e.macdougall.united_kingdom.london,elizabeth_g.wood.united_kingdom.london,jakob.loschko.usa.newyork,valeria.scagliotti.united_kingdom.london,faron_c.cassidy.united_kingdom.london,mark_e.robinson.united_kingdom.london,niklas.feldhahn.united_kingdom.london,leandro.castellano.united_kingdom.london,mathieubenoit.voisin.united_kingdom.london,federica.marelliberg.united_kingdom.london,carles.gastonmassuet.united_kingdom.london,marika.charalambous.united_kingdom.london,m_paula.longhi.united_kingdom.london"
20264,20264,2018,3,Cell metabolism,Lactobacillus gasseri in the Upper Small Intestine Impacts an ACSL3-Dependent Fatty Acid-Sensing Pathway Regulating Whole-Body Glucose Homeostasis,"paige_v.bauer.canada.toronto,frank_a.duca.canada.toronto,t_m_zaved.waise.canada.toronto,helen_j.dranse.canada.toronto,brittany_a.rasmussen.canada.toronto,akshita.puri.canada.toronto,mozhgan.rasti.canada.toronto,catherine_a.obrien.canada.toronto,tony_k_t.lam.canada.toronto"
20271,20271,2018,3,Cell metabolism,Dietary Fructose Metabolism By Splanchnic Organs: Size Matters,"javier_t.gonzalez.united_kingdom.bath,james_a.betts.united_kingdom.bath"
20273,20273,2018,3,Cell metabolism,Circadian Control of DRP1 Activity Regulates Mitochondrial Dynamics and Bioenergetics,"karen.schmitt.switzerland.basel,amandine.grimm.switzerland.basel,robert.dallmann.switzerland.zurich,bjoern.oettinghaus.switzerland.basel,lisa_michelle.restelli.switzerland.basel,melissa.witzig.switzerland.basel,naotada.ishihara.japan.kurume,katsuyoshi.mihara.japan.fukuoka,jrgen_a.ripperger.switzerland.fribourg,urs.albrecht.switzerland.fribourg,stephan.frank.switzerland.basel,steven_a.brown.switzerland.zurich,anne.eckert.switzerland.basel"
