,Unnamed: 0.1,pub_year,pub_month,journal_name,paper_title,author
0,0,2022,2,Nature reviews. Cardiology,Epidemiology of cardiovascular disease in Europe,"nick.townsend.united_kingdom.bath,denis.kazakiewicz.belgium.brussels,f.lucy_wright.united_kingdom.oxford,adam.timmis.belgium.brussels,radu.huculeci.belgium.brussels,aleksandra.torbica.italy.milan,chris_p.gale.united_kingdom.leeds,stephan.achenbach.belgium.brussels,franz.weidinger.belgium.brussels,panos.vardas.belgium.brussels"
1,1,2022,2,Nature reviews. Cardiology,Heart failure with mid-range or mildly reduced ejection fraction,"gianluigi.savarese.sweden.stockholm,davide.stolfo.sweden.stockholm,gianfranco.sinagra.italy.trieste,lars_h.lund.sweden.stockholm"
2,2,2022,2,Nature reviews. Cardiology,Bioengineering approaches to treat the failing heart: from cell biology to 3D printing,"moran.yadid.israel.telaviv,hadas.oved.israel.telaviv,eric.silberman.israel.telaviv,tal.dvir.israel.telaviv"
4,4,2022,2,Nature reviews. Clinical oncology,Radiotherapy as a tool to elicit clinically actionable signalling pathways in cancer,"giulia.petroni.usa.newyork,lewis_c.cantley.usa.newyork,laura.santambrogio.usa.newyork,silvia_c.formenti.usa.newyork,lorenzo.galluzzi.usa.newyork"
5,5,2022,2,Nature reviews. Clinical oncology,"Treatment landscape of triple-negative breast cancer - expanded options, evolving needs","giampaolo.bianchini.italy.milan,carmine.de_angelis.italy.naples,luca.licata.italy.milan,luca.gianni.italy.milan"
11,11,2022,2,Nature reviews. Genetics,Abiotic stress responses in plants,"huiming.zhang.china.shanghai,zhizhong.gong.china.beijing,jiankang.zhu.china.shanghai"
12,12,2022,2,Nature reviews. Genetics,The genetics of obesity: from discovery to biology,"ruth_j_f.loos.denmark.copenhagen,giles_s_h.yeo.united_kingdom.cambridge"
19,19,2022,2,Nature reviews. Molecular cell biology,"The assembly, regulation and function of the mitochondrial respiratory chain","irene.vercellino.austria.klosterneuburg,leonid_a.sazanov.austria.klosterneuburg"
24,24,2022,2,Nature reviews. Nephrology,Renal microvascular endothelial cell responses in sepsis-induced acute kidney injury,"grietje.molema.netherlands.groningen,jan_g.zijlstra.netherlands.groningen,matijs.van_meurs.netherlands.groningen,jan_a_a_m.kamps.netherlands.groningen"
26,26,2022,2,Nature reviews. Neuroscience,Motor and non-motor circuit disturbances in early Parkinson disease: which happens first,"javier.blesa.spain.madrid,guglielmo.foffani.spain.madrid,benjamin.dehay.france.bordeaux,erwan.bezard.france.bordeaux,jose_a.obeso.spain.madrid"
