,Unnamed: 0.1,pub_year,pub_month,journal_name,paper_title,author
4794,4794,2020,10,PLoS pathogens,p53 promotes ZDHHC1-mediated IFITM3 palmitoylation to inhibit Japanese encephalitis virus replication,"xin.wang.china.shanghai,zhuanchang.wu.china.shanghai,yuming.li.china.shanghai,yifan.yang.china.shanghai,changguang.xiao.china.shanghai,xiqian.liu.china.shanghai,xiao.xiang.china.shanghai,jianchao.wei.china.shanghai,donghua.shao.china.shanghai,ke.liu.china.shanghai,xufang.deng.china.shanghai,jiaqiang.wu.china.jinan,yafeng.qiu.china.shanghai,beibei.li.china.shanghai,zhiyong.ma.china.shanghai"
4796,4796,2020,10,Science signaling,Spatial heterogeneities shape the collective behavior of signaling amoeboid cells,"torsten_f.eckstein.germany.fassberg,estefania.vidalhenriquez.germany.fassberg,albert_j.bae.germany.fassberg,azam.gholami.germany.fassberg"
4797,4797,2020,10,Science signaling,Emerging roles for angiomotin in the nervous system,"michael.wigerius.canada.halifax,dylan.quinn.canada.halifax,james_p.fawcett.canada.halifax"
4802,4802,2020,10,Nature communications,Structure of Epstein-Barr virus tegument protein complex BBRF2-BSRF1 reveals its potential role in viral envelopment,"huiping.he.china.guangzhou,meng.luo.china.guangzhou,yulu.cao.china.guangzhou,yuxin.lin.china.guangzhou,hua.zhang.china.guangzhou,xiao.zhang.china.guangzhou,junying.ou.china.guangzhou,bing.yu.china.guangzhou,xiaoxue.chen.china.zhuhai,miao.xu.china.guangzhou,lin.feng.china.guangzhou,musheng.zeng.china.guangzhou,yixin.zeng.china.guangzhou,song.gao.china.guangzhou"
4803,4803,2020,10,Nature communications,The evolution of tit-for-tat in bacteria via the type VI secretion system,"william_p_j.smith.united_kingdom.oxford,maj.brodmann.switzerland.basel,daniel.unterweger.germany.kiel,yohan.davit.france.toulouse,marek.basler.switzerland.basel,kevin_r.foster.united_kingdom.oxford"
4807,4807,2020,10,Nature communications,"Over-activation of primate subgenual cingulate cortex enhances the cardiovascular, behavioral and neural responses to threat","laith.alexander.united_kingdom.cambridge,christian_m.wood.united_kingdom.cambridge,philip_l_r.gaskin.united_kingdom.cambridge,stephen_j.sawiak.united_kingdom.cambridge,tim_d.fryer.united_kingdom.cambridge,young_t.hong.united_kingdom.cambridge,lauren.mciver.united_kingdom.cambridge,hannah_f.clarke.united_kingdom.cambridge,angela_c.roberts.united_kingdom.cambridge"
4808,4808,2020,10,Nature communications,Vortex phase matching as a strategy for schooling in robots and in fish,"liang.li.germany.konstanz,mt.nagy.germany.konstanz,jacob_m.graving.germany.konstanz,guangming.xie.china.beijing,iain_d.couzin.germany.konstanz"
4813,4813,2020,10,Nature communications,E-cadherin focuses protrusion formation at the front of migrating cells by impeding actin flow,"cecilia.grimaldi.germany.munster,isabel.schumacher.germany.munster,aleix.boquetpujadas.france.paris,katsiaryna.tarbashevich.germany.munster,bart_eduard.vos.germany.munster,jan.bandemer.germany.munster,jan.schick.germany.munster,anne.aalto.germany.munster,jeanchristophe.olivomarin.france.paris,timo.betz.germany.munster,erez.raz.germany.munster"
4814,4814,2020,10,Nature communications,Two-tier supramolecular encapsulation of small molecules in a protein cage,"thomas_g_w.edwardson.switzerland.zurich,stephan.tetter.switzerland.zurich,donald.hilvert.switzerland.zurich"
4815,4815,2020,10,Nature communications,Methanol-dependent Escherichia coli strains with a complete ribulose monophosphate cycle,"philipp.keller.switzerland.zurich,elad.noor.switzerland.zurich,fabian.meyer.switzerland.zurich,michael_a.reiter.switzerland.zurich,stanislav.anastassov.switzerland.zurich,patrick.kiefer.switzerland.zurich,julia_a.vorholt.switzerland.zurich"
4817,4817,2020,10,PLoS computational biology,Gene expression noise can promote the fixation of beneficial mutations in fluctuating environments,"michael.schmutzer.switzerland.zurich,andreas.wagner.switzerland.zurich"
4818,4818,2020,10,PLoS computational biology,A Bayesian non-parametric mixed-effects model of microbial growth curves,"peter_d.tonner.usa.durham,cynthia_l.darnell.usa.durham,francesca_m_l.bushell.united_kingdom.birmingham,peter_a.lund.united_kingdom.birmingham,amy_k.schmid.usa.durham,scott_c.schmidler.usa.durham"
4820,4820,2020,10,PLoS genetics,Function of multiple sclerosis-protective HLA class I alleles revealed by genome-wide protein-quantitative trait loci mapping of interferon signalling,"christian.lundtoft.sweden.uppsala,pascal.pucholt.sweden.uppsala,juliana.imgenbergkreuz.sweden.uppsala,jonas.carlssonalmlf.sweden.uppsala,maijaleena.eloranta.sweden.uppsala,annchristine.syvnen.sweden.uppsala,gunnel.nordmark.sweden.uppsala,johanna_k.sandling.sweden.uppsala,ingrid.kockum.sweden.stockholm,tomas.olsson.sweden.stockholm,lars.rnnblom.sweden.uppsala,niklas.hagberg.sweden.uppsala"
4822,4822,2020,10,PLoS genetics,Estimating indirect parental genetic effects on offspring phenotypes using virtual parental genotypes derived from sibling and half sibling pairs,"liangdar.hwang.australia.brisbane,justin.luong.australia.brisbane,mischa.lundberg.australia.brisbane,gunnhelen.moen.australia.brisbane,geng.wang.australia.brisbane,nicole_m.warrington.australia.brisbane,gabriel.cuellarpartida.australia.brisbane,david_m.evans.australia.brisbane"
4826,4826,2020,10,PLoS genetics,AKH-FOXO pathway regulates starvation-induced sleep loss through remodeling of the small ventral lateral neuron dorsal projections,"qiankun.he.china.beijing,juan.du.china.beijing,liya.wei.china.baoding,zhangwu.zhao.china.beijing"
4827,4827,2020,10,PLoS genetics,Tissue-specific isoforms of the single C. elegans Ryanodine receptor gene unc-68 control specific functions,"filipe.marques.switzerland.fribourg,saurabh.thapliyal.switzerland.fribourg,avelino.javer.united_kingdom.london,priyanka.shrestha.united_kingdom.london,andr_e_x.brown.united_kingdom.london,dominique_a.glauser.switzerland.fribourg"
4828,4828,2020,10,PLoS genetics,Dual function of perivascular fibroblasts in vascular stabilization in zebrafish,"arsheen_m.rajan.canada.calgary,roger_c.ma.canada.calgary,katrinka_m.kocha.canada.calgary,dan_j.zhang.canada.calgary,peng.huang.canada.calgary"
4829,4829,2020,10,PLoS neglected tropical diseases,Schistosoma japonicum cathepsin B2 (SjCB2) facilitates parasite invasion through the skin,"bingkuan.zhu.china.shanghai,fang.luo.china.shanghai,yi.shen.china.shanghai,wenbin.yang.china.shanghai,chengsong.sun.china.shanghai,jipeng.wang.china.shanghai,jian.li.china.shanghai,xiaojin.mo.china.shanghai,bin.xu.china.shanghai,xumin.zhang.china.shanghai,wei.hu.china.shanghai"
4832,4832,2020,10,PLoS neglected tropical diseases,"Sugar feeding patterns of New York Aedes albopictus mosquitoes are affected by saturation deficit, flowers, and host seeking","kara.fikrig.usa.newyork,sonile.peck.usa.newyork,peter.deckerman.usa.newyork,sharon.dang.usa.newyork,kimberly.st_fleur.usa.newyork,henry.goldsmith.usa.newyork,sophia.qu.usa.newyork,hannah.rosenthal.usa.newyork,laura_c.harrington.usa.newyork"
4834,4834,2020,10,PLoS pathogens,Effector prediction and characterization in the oomycete pathogen Bremia lactucae reveal host-recognized WY domain proteins that lack the canonical RXLR motif,"kelsey_j.wood.usa.california,munir.nur.usa.california,juliana.gil.usa.california,kyle.fletcher.usa.california,dasan.gann.usa.california,ayumi.gothberg.usa.california,tina.khuu.usa.california,jennifer.kopetzky.usa.california,sanye.naqvi.usa.california,archana.pandya.usa.california,chi.zhang.usa.california,richard.michelmore.usa.california"
4835,4835,2020,10,PLoS pathogens,MAVS regulates the quality of the antibody response to West-Nile Virus,"marvin.oketch.usa.arizona,spencer.williams.usa.arizona,cameron.larson.usa.arizona,jennifer_l.uhrlaub.usa.arizona,rachel.wong.usa.arizona,brenna.hall.usa.arizona,neha_r.deshpande.usa.arizona,dominik.schenten.usa.arizona"
4836,4836,2020,10,PLoS pathogens,Actomyosin forces and the energetics of red blood cell invasion by the malaria parasite Plasmodium falciparum,"thomas_c_a.blake.united_kingdom.london,silvia.haase.united_kingdom.london,jake.baum.united_kingdom.london"
