,Unnamed: 0.1,pub_year,pub_month,journal_name,paper_title,author
0,0,2021,12,Nature cancer,Mutations in <i>BRCA1</i> and <i>BRCA2</i> differentially affect the tumor microenvironment and response to checkpoint blockade immunotherapy,"robert_m.samstein.usa.newyork,chirag.krishna.usa.newyork,xiaoxiao.ma.usa.newyork,xin.pei.usa.newyork,kenwing.lee.usa.newyork,vladimir.makarov.usa.newyork,fengshen.kuo.usa.newyork,jonathan.chung.usa.newyork,raghvendra_m.srivastava.usa.newyork,tanaya_a.purohit.usa.newyork,douglas_r.hoen.usa.newyork,rajarsi.mandal.usa.newyork,jeremy.setton.usa.newyork,wei.wu.usa.newyork,rachna.shah.usa.newyork,besnik.qeriqi.usa.newyork,qing.chang.usa.newyork,sviatoslav.kendall.usa.newyork,lior.braunstein.usa.newyork,britta.weigelt.usa.newyork,pedro_blecua.carrillo_albornoz.usa.newyork,luc_g_t.morris.usa.newyork,diana_l.mandelker.usa.newyork,jorge_s.reisfilho.usa.newyork,elisa.de_stanchina.usa.newyork,simon_n.powell.usa.newyork,timothy_a.chan.usa.newyork,nadeem.riaz.usa.newyork"
4,4,2021,8,Nature chemical biology,RETRACTED ARTICLE: Discovery of iron-sensing bacterial riboswitches,"siladitya.bandyopadhyay.india.bangalore,susmitnarayan.chaudhury.india.bangalore,dolly.mehta.india.bangalore,arati.ramesh.india.bangalore"
10,10,2021,6,Nature biomedical engineering,A deep-learning system for the assessment of cardiovascular disease risk via the measurement of retinal-vessel calibre,"carol_y.cheung.singapore.singapore,dejiang.xu.singapore.singapore,chingyu.cheng.singapore.singapore,charumathi.sabanayagam.singapore.singapore,yihchung.tham.singapore.singapore,marco.yu.singapore.singapore,tyler_hyungtaek.rim.singapore.singapore,chew_yian.chai.singapore.singapore,bamini.gopinath.australia.westmead,paul.mitchell.australia.westmead,richie.poulton.new_zealand.dunedin,terrie_e.moffitt.usa.durham,avshalom.caspi.usa.durham,jason_c.yam.china.hongkong,clement_c.tham.china.hongkong,jost_b.jonas.germany.heidelberg,ya_xing.wang.china.beijing,su_jeong.song.south_korea.seoul,louise_m.burrell.australia.heidelberg,omar.farouque.australia.heidelberg,ling_jun.li.singapore.singapore,gavin.tan.singapore.singapore,daniel_s_w.ting.singapore.singapore,wynne.hsu.singapore.singapore,mong_li.lee.singapore.singapore,tien_y.wong.singapore.singapore"
11,11,2021,6,Nature biotechnology,Hypertension delays viral clearance and exacerbates airway hyperinflammation in patients with COVID-19,"saskia.trump.germany.berlin,soeren.lukassen.germany.berlin,markus_s.anker.germany.berlin,robert_lorenz.chua.germany.berlin,johannes.liebig.germany.berlin,loreen.thrmann.germany.berlin,victor_max.corman.germany.berlin,marco.binder.germany.heidelberg,jennifer.loske.germany.berlin,christina.klasa.germany.greifswald,teresa.krieger.germany.berlin,bianca_p.hennig.germany.berlin,marey.messingschlager.germany.berlin,fabian.pott.germany.berlin,julia.kazmierski.germany.berlin,sven.twardziok.germany.berlin,jan_philipp.albrecht.germany.berlin,jrgen.eils.germany.berlin,sara.hadzibegovic.germany.berlin,alessia.lena.germany.berlin,bettina.heidecker.germany.berlin,thore.brgel.germany.berlin,jakob.steinfeldt.germany.berlin,christine.goffinet.germany.berlin,florian.kurth.germany.berlin,martin.witzenrath.germany.berlin,maria_theresa.vlker.germany.leipzig,sarah_dorothea.mller.germany.leipzig,uwe_gerd.liebert.germany.leipzig,naveed.ishaque.germany.berlin,lars.kaderali.germany.greifswald,leiferik.sander.germany.berlin,christian.drosten.germany.berlin,sven.laudi.germany.leipzig,roland.eils.germany.berlin,christian.conrad.germany.berlin,ulf.landmesser.germany.berlin,irina.lehmann.germany.berlin"
12,12,2021,6,Nature reviews. Immunology,Redox regulation of immunometabolism,"jonathan.muri.switzerland.zurich,manfred.kopf.switzerland.zurich"
17,17,2021,5,Nature biomedical engineering,Therapeutic vaccination against leukaemia via the sustained release of co-encapsulated anti-PD-1 and a leukaemia-associated antigen,"xiaoling.xie.china.guangzhou,yuxing.hu.china.guangzhou,tong.ye.china.beijing,yiran.chen.china.guangzhou,lijuan.zhou.china.guangzhou,feng.li.china.beijing,xiaobo.xi.china.beijing,shuang.wang.china.beijing,yanjie.he.china.guangzhou,xiaoyong.gao.china.beijing,wei.wei.china.beijing,guanghui.ma.china.beijing,yuhua.li.china.guangzhou"
23,23,2021,5,Nature reviews. Cardiology,Cardiac optogenetics: a decade of enlightenment,"emilia.entcheva.usa.washington,matthew_w.kay.usa.washington"
24,24,2021,5,Nature reviews. Cardiology,Systems biology in cardiovascular disease: a multiomics approach,"abhishek.joshi.united_kingdom.london,marieke.rienks.united_kingdom.london,konstantinos.theofilatos.united_kingdom.london,manuel.mayr.united_kingdom.london"
26,26,2021,5,Nature reviews. Immunology,NOD-like receptor-mediated plant immunity: from structure to cell death,"isabel_m_l.saur.germany.cologne,ralph.panstruga.germany.aachen,paul.schulzelefert.germany.cologne"
28,28,2021,5,Nature reviews. Immunology,T cell regeneration after immunological injury,"enrico.velardi.italy.rome,jennifer_j.tsai.usa.newyork,marcel_r_m.van_den_brink.usa.newyork"
34,34,2021,4,Cell metabolism,Hyocholic acid species improve glucose homeostasis through a distinct TGR5 and FXR signaling mechanism,"xiaojiao.zheng.china.shanghai,tianlu.chen.china.shanghai,runqiu.jiang.china.nanjing,aihua.zhao.china.shanghai,qing.wu.china.beijing,junliang.kuang.china.shanghai,dongnan.sun.china.shanghai,zhenxing.ren.china.shanghai,mengci.li.china.shanghai,mingliang.zhao.china.shanghai,shouli.wang.china.shanghai,yuqian.bao.china.shanghai,huating.li.china.shanghai,cheng.hu.china.shanghai,bing.dong.china.beijing,defa.li.china.beijing,jiayu.wu.china.beijing,jialin.xia.china.beijing,xuemei.wang.china.beijing,ke.lan.china.chengdu,aiping.lu.china.kowloon,weiping.jia.china.shanghai,changtao.jiang.china.beijing,wei.jia.china.kowloon"
35,35,2021,4,Cell metabolism,Reductive TCA cycle metabolism fuels glutamine- and glucose-stimulated insulin secretion,"guofang.zhang.usa.durham,mette_v.jensen.usa.durham,sarah_m.gray.usa.durham,kimberley.el.usa.durham,you.wang.usa.durham,danhong.lu.usa.durham,thomas_c.becker.usa.durham,jonathan_e.campbell.usa.durham,christopher_b.newgard.usa.durham"
