,Unnamed: 0.1,pub_year,pub_month,journal_name,paper_title,author
10755,10755,2019,7,Nature reviews. Endocrinology,Improving pregnancy outcomes in women with diabetes mellitus: modern management,"lene.ringholm.denmark.copenhagen,peter.damm.denmark.copenhagen,elisabeth_r.mathiesen.denmark.copenhagen"
10757,10757,2019,7,Nature reviews. Gastroenterology & hepatology,"Publisher Correction: Language, numeracy and logic in microbiome science","fergus.shanahan.ireland.cork,colin.hill.ireland.cork"
10758,10758,2019,7,Nature reviews. Gastroenterology & hepatology,"Language, numeracy and logic in microbiome science","fergus.shanahan.ireland.cork,colin.hill.ireland.cork"
10761,10761,2019,7,Nature reviews. Gastroenterology & hepatology,From NASH to HCC: current concepts and future challenges,"quentin_m.anstee.united_kingdom.newcastle,helen_l.reeves.united_kingdom.newcastle,elena.kotsiliti.germany.heidelberg,olivier.govaere.united_kingdom.newcastle,mathias.heikenwalder.germany.heidelberg"
10762,10762,2019,7,Nature reviews. Gastroenterology & hepatology,Gastrointestinal diagnosis using non-white light imaging capsule endoscopy,"gerard.cummins.united_kingdom.edinburgh,benjamin_f.cox.united_kingdom.dundee,gastone.ciuti.italy.pisa,thineskrishna.anbarasan.united_kingdom.dundee,marc_p_y.desmulliez.united_kingdom.edinburgh,sandy.cochran.united_kingdom.glasgow,robert.steele.united_kingdom.dundee,john_n.plevris.united_kingdom.edinburgh,anastasios.koulaouzidis.united_kingdom.edinburgh"
10763,10763,2019,7,Nature reviews. Gastroenterology & hepatology,Spatial heterogeneity in the mammalian liver,"shani.benmoshe.israel.rehovot,shalev.itzkovitz.israel.rehovot"
10765,10765,2019,7,Nature reviews. Genetics,A duty to recontact in genetics: context matters,"noor_a_a.giesbertz.netherlands.utrecht,wim_h.van_harten.netherlands.amsterdam,annelien_l.bredenoord.netherlands.utrecht"
10766,10766,2019,7,Nature reviews. Genetics,Resolving genetic heterogeneity in cancer,"samra.turajlic.united_kingdom.london,andrea.sottoriva.united_kingdom.london,trevor.graham.united_kingdom.london,charles.swanton.united_kingdom.london"
10767,10767,2019,7,Nature reviews. Genetics,Author Correction: Regulation of transposable elements by DNA modifications,"zgen.deniz.united_kingdom.london,jennifer_m.frost.united_kingdom.london,miguel_r.branco.united_kingdom.london"
10768,10768,2019,7,Nature reviews. Genetics,Regulation of transposable elements by DNA modifications,"zgen.deniz.united_kingdom.london,jennifer_m.frost.united_kingdom.london,miguel_r.branco.united_kingdom.london"
10771,10771,2019,7,Nature reviews. Immunology,Genome organization in immune cells: unique challenges,"timothy_m.johanson.australia.parkville,wing_fuk.chan.australia.parkville,christine_r.keenan.australia.parkville,rhys_s.allan.australia.parkville"
10772,10772,2019,7,Nature reviews. Immunology,Epigenetic regulation of the innate immune response to infection,"qian.zhang.china.tianjin,xuetao.cao.china.tianjin"
10776,10776,2019,7,Nature reviews. Microbiology,Pushing the envelope: LPS modifications and their consequences,"brent_w.simpson.greece.athens,m_stephen.trent.greece.athens"
